Alt,Pressure,Temp,RH,O3_mba,O3_ppbv,O3_column,U,V,Theta,Theta_e,Mixing_Ratio
3.6,660.617,274.241,8.179999999999998,2.1,31.65,6.629,-1.732,1.9040000000000004,308.535,322.836,0.6059999999999999
3.7,652.471,273.811,8.024,2.1,32.09,6.829,-2.5139999999999993,1.812,309.161,321.374,0.53
3.8,644.4110000000001,273.362,8.078,2.1,32.602000000000004,7.029,-1.8619999999999997,2.078,309.704,321.642,0.5559999999999999
3.9,636.413,272.796,8.161999999999999,2.076,32.504,7.238,-2.4579999999999993,2.8000000000000003,310.255,322.476,0.56
4.0,628.46,272.285,8.404,2.058,32.692,7.449,-3.2079999999999997,3.868,310.82,322.808,0.5559999999999999
4.1,620.657,271.704,9.0,2.1,33.602000000000004,7.649,-3.57,4.08,311.255,323.366,0.53
4.2,612.8580000000001,271.237,8.65,2.1,34.032000000000004,7.907,-4.4079999999999995,4.238,311.745,323.342,0.5279999999999998
4.3,605.191,270.688,8.5,2.084,34.374,8.144,-3.4899999999999998,5.298,312.16700000000003,322.95799999999997,0.5219999999999999
4.4,597.624,270.03200000000004,8.16,2.076,34.796,8.367999999999999,-2.386,5.76,312.487,322.744,0.4759999999999999
4.5,590.154,269.284,7.935999999999999,2.042,34.5,8.578,-2.908,6.414000000000001,313.001,323.238,0.42599999999999993
4.6,582.6750000000001,268.745,8.835999999999997,2.045,34.730000000000004,8.789,-2.328,6.652,313.33500000000004,323.92199999999997,0.46
4.7,575.293,267.885,9.0,2.0,34.75,9.01,-2.802,6.6160000000000005,313.711,324.26599999999996,0.48599999999999993
4.8,567.99,267.344,9.0,2.0,35.116,9.229000000000001,-3.6719999999999997,8.028,314.204,324.445,0.45299999999999996
4.9,560.814,266.762,8.139000000000001,1.982,35.162,9.443,-4.635999999999999,8.158,314.67400000000004,324.454,0.40299999999999997
5.0,553.74,266.282,8.342,1.942,34.782,9.659,-4.071999999999999,8.226,315.22,324.249,0.4
5.1,546.674,265.72400000000005,8.042,1.91,34.9,9.863999999999999,-4.102,8.362,315.632,323.819,0.35
5.2,539.686,265.25,8.0,1.928,35.578,10.056000000000001,-3.7359999999999998,8.25,315.954,323.969,0.35
5.3,532.8199999999999,264.7,7.648,1.9,35.623999999999995,10.239,-4.117999999999999,8.83,316.40999999999997,324.76,0.33
5.4,525.964,263.998,8.0,1.9,35.843,10.476,-3.046,8.968,316.82,324.819,0.32299999999999995
5.5,519.214,263.322,8.0,1.851,35.507999999999996,10.693999999999999,-3.7159999999999993,9.182,317.136,325.53799999999995,0.31599999999999995
