#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2020-12-19,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2020-12-19,23:36:11
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
917.9,1.2,14.4,83.7,88.0,8.6,922.9
917.4,1.2,14.4,83.8,88.4,8.5,927.2
917.0,1.2,14.3,83.6,88.7,8.5,931.5
916.5,1.2,14.3,83.2,89.1,8.5,936.1
915.9,1.2,14.3,82.9,89.4,8.5,940.9
915.4,1.2,14.3,82.8,89.7,8.5,945.9
914.9,1.2,14.3,82.8,90.0,8.5,950.7
914.4,1.2,14.3,82.8,90.2,8.5,955.4
913.9,1.2,14.2,82.8,90.4,8.4,960.1
913.4,1.2,14.2,82.7,90.5,8.4,964.9
912.8,1.2,14.2,82.3,90.6,8.4,969.6
912.3,1.2,14.1,81.6,90.6,8.4,974.3
911.8,1.2,14.2,80.7,90.5,8.5,978.9
911.4,1.2,14.1,80.0,90.4,8.5,983.5
910.8,1.2,14.1,79.5,90.2,8.5,988.2
910.3,1.2,14.1,78.7,89.9,8.5,993.1
909.8,1.2,14.1,78.5,89.5,8.5,998.2
909.2,1.2,14.0,79.2,89.0,8.6,1003.6
908.6,1.2,14.0,79.6,88.5,8.6,1009.2
907.9,1.2,13.9,79.9,87.9,8.7,1014.9
907.4,1.2,13.9,80.1,87.3,8.7,1020.4
906.8,1.2,13.8,80.4,86.7,8.8,1025.6
906.3,1.2,13.8,80.8,86.0,8.9,1030.7
905.7,1.2,13.7,81.4,85.3,9.0,1035.9
905.1,1.2,13.7,81.6,84.6,9.1,1041.6
904.5,1.2,13.6,81.4,83.9,9.2,1047.7
903.7,1.2,13.6,81.0,83.3,9.3,1054.0
903.1,1.2,13.5,80.9,82.6,9.4,1060.1
902.5,1.3,13.5,81.1,82.0,9.5,1065.9
901.9,1.3,13.4,81.6,81.4,9.6,1071.5
901.3,1.3,13.3,82.3,80.9,9.7,1077.1
900.7,1.3,13.3,82.4,80.4,9.9,1083.2
900.0,1.3,13.2,81.3,80.0,10.0,1089.6
899.2,1.3,13.2,80.1,79.7,10.1,1096.3
898.5,1.3,13.2,81.2,79.4,10.2,1103.0
897.8,1.3,13.2,83.9,79.2,10.3,1109.5
897.2,1.3,13.1,85.4,79.0,10.4,1115.5
896.6,1.3,13.0,85.7,78.9,10.5,1121.1
896.0,1.3,13.0,86.2,78.9,10.6,1126.5
895.5,1.3,12.9,86.9,78.8,10.7,1131.7
894.9,1.3,12.8,87.4,78.9,10.7,1136.7
894.4,1.3,12.8,87.3,78.9,10.8,1141.7
893.9,1.3,12.8,87.0,79.0,10.8,1146.6
893.3,1.3,12.7,87.1,79.1,10.9,1151.6
892.8,1.3,12.7,87.3,79.2,10.9,1156.6
892.3,1.3,12.6,87.6,79.4,10.9,1161.7
891.7,1.3,12.6,87.9,79.5,10.9,1167.0
891.1,1.3,12.5,88.2,79.7,10.9,1172.5
890.5,1.3,12.5,88.1,79.9,10.9,1177.9
890.0,1.3,12.5,87.7,80.0,10.9,1183.0
889.5,1.2,12.4,87.5,80.2,10.8,1188.1
888.9,1.2,12.4,87.3,80.3,10.8,1193.4
888.3,1.2,12.4,87.2,80.4,10.7,1199.0
887.7,1.2,12.4,87.3,80.5,10.7,1204.8
887.1,1.2,12.3,87.3,80.6,10.6,1210.7
