CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19990911 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.600
Integrated O3 until EOF (DU)     : 286.025
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
11.0      238.760   223.840     7.929     2.549    106.770   27.391    37.187    -0.649   336.610   337.150     0.00001
11.1      235.180   223.090     7.000     2.494    106.070   27.692    35.939     0.627   336.930   337.470     0.00001
11.2      231.590   222.410     6.625     2.494    107.680   27.994    34.678     2.425   337.380   337.920     0.00001
11.3      228.100   222.250     6.000     2.590    113.550   28.308    33.615     3.533   338.590   339.130     0.00001
11.4      224.600   222.050     6.000     2.650    117.990   28.629    33.472     2.928   339.780   340.330     0.00001
11.5      221.180   221.350     4.000     2.690    121.620   28.956    33.890     2.370   340.190   340.730     0.00001
11.6      217.760   221.160     4.000     2.428    111.510   29.252    34.755     1.766   341.410   341.960     0.00001
11.7      214.450   221.650     3.000     2.310    107.720   29.532    34.779     1.214   343.660   344.220     0.00000
11.8      211.170   221.150     4.000     2.179    103.180   29.798    33.784     0.590   344.400   344.970     0.00001
11.9      207.930   220.460     3.000     2.151    103.470   30.061    32.799     0.082   344.840   345.410     0.00000
12.0      204.720   219.660     2.000     2.175    106.240   30.327    32.113     0.000   345.110   345.680     0.00000
12.1      201.580   219.750     2.000     2.238    111.020   30.601    31.255    -0.546   346.780   347.350     0.00000
12.2      198.430   219.350     2.000     2.211    111.430   30.873    30.569    -1.602   347.700   348.280     0.00000
12.3      195.360   218.950     2.000     2.150    110.050   31.137    30.185    -2.641   348.610   349.200     0.00000
12.4      192.370   218.740     2.000     2.079    108.070   31.393    30.720    -4.317   349.810   350.410     0.00000
12.5      189.380   217.950     2.000     2.010    106.140   31.641    32.523    -5.735   350.110   350.710     0.00000
12.6      186.400   217.350     2.000     1.940    104.080   31.882    33.878    -5.366   350.720   351.330     0.00000
12.7      183.510   217.050     2.000     1.920    104.630   32.120    33.747    -4.144   351.800   352.420     0.00000
12.8      180.680   216.650     2.000     1.857    102.810   32.351    34.764    -4.269   352.710   353.340     0.00000
12.9      177.810   216.220     1.700     1.800    101.230   32.575    36.179    -5.730   353.620   354.250     0.00000
13.0      175.030   215.550     2.000     1.761    100.610   32.795    35.566    -5.633   354.110   354.750     0.00000
13.1      172.250   214.770     2.000     1.804    104.710   33.021    33.914    -5.371   354.440   355.080     0.00000
13.2      169.540   214.070     2.000     1.760    103.810   33.242    31.847    -5.044   354.890   355.530     0.00000
13.3      166.830   213.690     2.000     1.776    106.430   33.466    30.125    -5.856   355.890   356.550     0.00000
13.4      164.210   213.350     2.000     1.770    107.790   33.690    29.206    -7.282   356.930   357.590     0.00000
13.5      161.650   213.030     2.000     1.748    108.150   33.911    29.268    -7.842   358.000   358.660     0.00000
13.6      159.030   212.520     1.000     1.670    105.010   34.122    29.511    -8.462   358.790   359.460     0.00000
13.7      156.430   211.960     2.000     1.720    109.950   34.341    29.511    -8.462   359.540   360.220     0.00000
13.8      153.960   211.850     2.000     1.660    107.820   34.552    30.373    -8.138   360.990   361.680     0.00000
13.9      151.510   211.200     2.000     1.640    108.240   34.761    31.038    -7.166   361.530   362.230     0.00000
14.0      149.060   210.950     3.000     1.632    109.500   34.969    30.127    -6.404   362.780   363.490     0.00000
14.1      146.650   210.670     2.833     1.707    116.380   35.187    32.067    -5.079   363.980   364.690     0.00000
14.2      144.350   210.580     3.000     1.730    119.840   35.408    33.246    -4.672   365.460   366.190     0.00000
14.3      142.030   210.150     3.000     1.670    117.580   35.622    34.866    -3.818   366.410   367.150     0.00000
14.4      139.720   209.560     2.000     1.572    112.500   35.824    35.999    -2.575   367.090   367.830     0.00000
14.5      137.450   208.980     2.000     1.520    110.580   36.020    36.494    -0.637   367.780   368.520     0.00000
14.6      135.210   209.050     2.000     1.534    113.470   36.218    36.035     1.258   369.630   370.390     0.00000
14.7      133.020   209.060     2.000     1.579    118.690   36.421    34.675     1.817   371.380   372.140     0.00000
14.8      130.900   209.550     2.000     1.720    131.400   36.642    32.077     2.806   373.950   374.730     0.00000
14.9      128.760   209.410     2.000     1.839    142.820   36.879    31.137     2.724   375.460   376.250     0.00000
15.0      126.690   209.050     1.000     1.941    153.220   37.129    30.079     3.161   376.550   377.350     0.00000
15.1      124.640   208.150     1.000     1.932    155.020   37.379    28.431     3.491   376.670   377.470     0.00000
15.2      122.620   207.660     1.000     1.940    158.210   37.630    27.341     3.843   377.540   378.350     0.00000
15.3      120.580   206.950     1.000     1.900    157.570   37.877    26.715     3.755   378.060   378.870     0.00000
15.4      118.590   206.350     2.000     1.866    157.310   38.121    25.043     3.519   378.750   379.580     0.00000
15.5      116.660   205.850     1.000     1.890    162.000   38.368    22.720     2.388   379.600   380.430     0.00000
15.6      114.740   205.650     2.000     2.006    174.780   38.631    20.532     0.717   381.030   381.870     0.00000
15.7      112.900   204.950     4.000     2.110    186.890   38.908    19.973    -1.047   381.490   382.340     0.00000
15.8      110.980   204.350     5.000     2.119    190.940   39.187    20.630    -1.805   382.230   383.090     0.00000
15.9      109.120   204.260     5.000     1.980    181.450   39.448    21.770    -2.288   383.910   384.780     0.00000
16.0      107.300   204.000     4.000     1.905    177.540   39.699    23.126    -2.840   385.260   386.140     0.00000
16.1      105.500   203.950     4.000     1.950    184.830   39.957    24.757    -3.479   387.030   387.920     0.00000
16.2      103.770   203.950     3.727     1.880    181.170   40.205    25.897    -1.233   388.850   389.750     0.00000
16.3      102.110   204.040     3.000     1.948    190.770   40.462    26.011     2.276   390.820   391.730     0.00000
16.4      100.380   204.570     3.000     2.140    213.190   40.744    23.540     2.474   393.740   394.670     0.00000
16.5       98.680   205.870     3.000     2.400    243.210   41.058    20.566     2.525   398.180   399.120     0.00000
16.6       97.110   205.760     4.000     2.598    267.530   41.398    18.062     3.511   399.790   400.740     0.00000
16.7       95.457   205.450     4.000     2.670    279.710   41.748    16.314     5.754   401.140   402.110     0.00000
16.8       93.882   205.350     4.000     2.782    296.310   42.112    14.362     7.375   402.850   403.830     0.00000
16.9       92.380   205.410     4.000     2.862    309.810   42.488    11.332     6.809   404.820   405.810     0.00000
17.0       90.862   205.350     4.000     2.978    327.690   42.878     9.148     5.716   406.620   407.620     0.00000
17.1       89.385   205.050     5.000     3.060    342.340   43.280     9.112     3.303   407.930   408.940     0.00000
17.2       87.867   204.520     5.000     3.160    359.640   43.696     9.052     1.816   408.860   409.880     0.00000
17.3       86.380   204.030     5.800     3.112    360.270   44.107    10.138    -0.213   409.870   410.900     0.00000
17.4       85.000   203.250     4.000     3.180    374.120   44.528    12.149    -1.924   410.180   411.220     0.00000
17.5       83.580   203.160     4.000     3.300    394.830   44.965    13.879    -3.486   411.970   413.020     0.00000
17.6       82.211   204.240     4.000     3.517    427.760   45.429    14.741    -4.790   416.110   417.180     0.00000
17.7       80.783   205.210     3.583     3.912    484.220   45.942    14.171    -4.063   420.180   421.260     0.00000
17.8       79.510   204.860     3.000     4.100    515.660   46.481    14.275    -3.060   421.370   422.460     0.00000
17.9       78.200   205.150     2.000     4.300    549.870   47.045    15.706    -3.053   423.970   425.070     0.00000
18.0       76.883   205.350     2.000     4.621    601.020   47.651    17.297    -2.714   426.440   427.560     0.00000
18.1       75.609   204.500     2.000     4.764    630.160   48.279    18.320    -0.960   426.710   427.830     0.00000
18.2       74.350   205.170     1.000     5.433    730.670   48.992    18.794     1.067   430.160   431.300     0.00000
18.3       73.100   205.950     2.000     7.280    995.900   49.943    18.683     3.971   433.870   435.040     0.00000
18.4       71.900   206.450     2.000     8.540   1187.800   51.057    17.854     6.498   436.980   438.160     0.00000
18.5       70.731   206.750     1.000     9.316   1317.100   52.271    17.023     6.196   439.670   440.860     0.00000
18.6       69.618   206.270     1.000     9.623   1382.200   53.527    16.356     6.548   440.630   441.830     0.00000
18.7       68.427   205.850     1.000     9.528   1392.500   54.773    14.978     6.052   441.900   443.110     0.00000
18.8       67.355   205.850     1.000     9.266   1375.800   55.985    13.582     5.765   443.890   445.120     0.00000
18.9       66.182   205.950     1.000     9.066   1369.800   57.170    12.264     5.982   446.340   447.570     0.00000
19.0       65.109   206.440     1.000     8.920   1370.000   58.334     9.948     4.038   449.490   450.740     0.00000
19.1       64.100   207.150     1.000     8.760   1366.600   59.472     7.625     1.072   453.040   454.310     0.00000
19.2       63.009   207.600     1.000     8.433   1338.300   60.566     6.796     0.237   456.240   457.530     0.00000
19.3       61.971   207.420     1.000     8.436   1361.200   61.661     7.753    -0.231   458.020   459.320     0.00000
19.4       60.940   207.050     1.000     8.288   1360.000   62.739     9.059     1.049   459.390   460.710     0.00000
19.5       59.975   206.720     1.000     7.920   1320.600   63.771    10.470     3.453   460.760   462.090     0.00000
19.6       58.950   207.200     1.000     7.890   1338.400   64.796     8.649     4.501   464.090   465.440     0.00000
19.7       58.000   207.650     1.000     7.940   1369.000   65.826     6.469     4.875   467.260   468.620     0.00000
19.8       57.117   208.900     1.000     8.438   1477.400   66.913     4.225     5.005   472.130   473.510     0.00000
19.9       56.160   210.050     1.000     9.232   1643.900   68.097     3.533     3.815   477.020   478.430     0.00000
20.0       55.209   209.650     1.000     9.479   1716.900   69.314     4.931     3.728   478.430   479.850     0.00000
20.1       54.383   208.930     1.000     9.045   1663.200   70.480     6.574     3.470   478.850   480.270     0.00000
20.2       53.479   208.330     1.000     8.454   1580.700   71.573     8.556     3.284   479.750   481.190     0.00000
20.3       52.585   207.930     1.000     8.185   1556.500   72.632    10.270     4.823   481.150   482.600     0.00000
20.4       51.769   207.850     1.000     8.409   1624.400   73.722    11.225     6.481   483.100   484.560     0.00000
20.5       50.920   208.050     1.000     8.538   1676.700   74.827    11.330     7.080   485.840   487.320     0.00000
20.6       50.057   208.490     1.000     8.446   1687.200   75.918     9.442     6.860   489.250   490.750     0.00000
20.7       49.293   209.060     1.000     8.644   1753.500   77.031     6.602     4.442   492.730   494.250     0.00000
20.8       48.440   209.350     1.000     9.298   1919.500   78.227     3.976     0.908   495.880   497.420     0.00000
20.9       47.700   209.350     1.000    10.323   2164.000   79.554     2.987    -2.095   498.060   499.610     0.00000
21.0       46.900   209.850     1.000    11.230   2394.500   80.995     4.041    -3.272   501.660   503.240     0.00000
21.1       46.150   210.400     1.000    11.705   2536.300   82.493     6.233    -2.840   505.290   506.890     0.00000
21.2       45.418   211.030     1.000    12.236   2694.200   84.055     6.740    -1.956   509.120   510.740     0.00000
21.3       44.673   211.780     1.000    12.523   2803.200   85.647     6.077    -2.007   513.340   514.970     0.00000
21.4       43.925   211.970     1.000    12.977   2954.500   87.295     6.659    -2.930   516.290   517.950     0.00000
21.5       43.290   211.640     1.000    13.112   3028.900   88.964     6.861    -4.490   517.620   519.290     0.00000
21.6       42.570   211.750     1.000    13.140   3086.700   90.635     6.485    -5.067   520.370   522.050     0.00000
21.7       41.931   211.750     1.000    13.066   3116.100   92.296     7.219    -3.888   522.610   524.320     0.00000
21.8       41.208   211.950     1.000    13.066   3170.700   93.956     7.225    -3.217   525.700   527.430     0.00000
21.9       40.607   212.250     1.000    13.246   3262.000   95.636     7.928    -2.434   528.660   530.400     0.00000
22.0       39.933   212.350     1.000    13.337   3339.700   97.327     9.290    -1.195   531.430   533.190     0.00000
22.1       39.250   211.950     1.000    13.270   3380.900   99.013    10.075    -0.705   533.050   534.820     0.00000
22.2       38.692   212.770     1.000    13.382   3458.400  100.707     9.247    -1.643   537.280   539.080     0.00000
22.3       38.033   213.520     1.000    13.860   3644.200  102.455     8.542    -1.252   541.820   543.650     0.00000
22.4       37.414   214.140     1.000    13.943   3726.600  104.208     8.358     0.836   545.940   547.790     0.00000
22.5       36.807   214.840     1.000    14.057   3819.200  105.970     8.568     1.511   550.300   552.180     0.00000
22.6       36.283   214.970     1.000    14.268   3932.500  107.757     9.231     1.133   552.870   554.760     0.00000
22.7       35.683   215.670     1.000    14.720   4125.200  109.595     8.459    -0.344   557.310   559.230     0.00000
22.8       35.108   216.150     1.000    14.855   4231.200  111.445     6.728    -2.294   561.150   563.100     0.00000
22.9       34.591   216.550     1.000    14.890   4304.600  113.297     6.141    -2.104   564.570   566.540     0.00001
23.0       34.000   217.450     1.000    14.830   4361.800  115.133     6.285    -0.439   569.710   571.710     0.00001
23.1       33.514   218.250     1.000    14.813   4419.900  116.961     6.263    -1.315   574.150   576.180     0.00001
23.2       33.032   218.720     1.000    14.740   4462.400  118.775     5.800    -2.190   577.770   579.820     0.00001
23.3       32.500   218.850     1.000    14.718   4528.700  120.586     5.383    -2.710   580.790   582.870     0.00001
23.4       32.000   219.340     1.000    14.830   4634.400  122.407     5.007    -3.121   584.680   586.780     0.00001
23.5       31.487   219.750     1.000    14.513   4609.100  124.185     4.692    -3.409   588.470   590.590     0.00001
23.6       31.000   220.050     1.000    14.750   4758.100  125.990     4.430    -3.587   591.890   594.040     0.00001
23.7       30.500   220.130     1.000    14.684   4814.500  127.786     4.236    -3.814   594.860   597.030     0.00001
23.8       30.031   220.050     1.000    14.245   4743.600  129.529     4.049    -3.868   597.270   599.460     0.00001
23.9       29.594   219.850     1.000    14.058   4750.200  131.251     3.960    -3.960   599.220   601.430     0.00001
24.0       29.100   219.320     1.000    14.056   4830.400  132.976     3.890    -4.028   600.660   602.880     0.00001
24.1       28.677   218.730     1.000    13.820   4819.200  134.678     3.906    -4.045   601.530   603.760     0.00001
24.2       28.229   218.080     1.000    13.595   4815.800  136.356     4.497    -4.611   602.440   604.680     0.00001
24.3       27.800   218.740     1.000    13.307   4786.700  137.994     4.280    -7.375   606.900   609.170     0.00001
24.4       27.400   219.450     1.000    13.252   4836.500  139.620     3.868    -9.113   611.400   613.700     0.00001
24.5       26.922   219.450     2.000    13.220   4910.400  141.242     3.986    -8.953   614.470   616.860     0.00002
24.6       26.500   219.250     2.000    12.988   4901.100  142.837     4.413    -8.300   616.680   619.090     0.00002
24.7       26.100   219.550     2.000    12.900   4942.500  144.420     4.767    -7.516   620.210   622.650     0.00002
24.8       25.700   219.450     2.000    12.660   4926.100  145.973     4.879    -6.715   622.660   625.120     0.00002
