CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19970628 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 9.815
Integrated O3 until EOF (DU)     : 214.863
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 6.2      471.490   253.170    18.000     1.900    40.297    15.810  9000.000  9000.000   313.640   314.770     0.00030
 6.3      465.170   252.110    17.209     1.900    40.846    16.013  9000.000  9000.000   313.530   314.560     0.00027
 6.4      458.900   251.390    14.000     1.900    41.404    16.217  9000.000  9000.000   313.840   314.700     0.00021
 6.5      452.690   250.760    15.000     2.000    44.180    16.431  9000.000  9000.000   314.270   315.150     0.00021
 6.6      446.580   250.010    13.000     2.021    45.260    16.649  9000.000  9000.000   314.540   315.320     0.00017
 6.7      440.520   249.270    13.943     2.000    45.401    16.865  9000.000  9000.000   314.830   315.630     0.00018
 6.8      434.500   248.420    14.762     2.100    48.332    17.093  9000.000  9000.000   315.000   315.800     0.00018
 6.9      428.550   247.550    18.000     2.100    49.002    17.321  9000.000  9000.000   315.130   316.010     0.00020
 7.0      422.650   246.950    21.250     2.100    49.687    17.550  9000.000  9000.000   315.610   316.580     0.00023
 7.1      416.820   246.170    25.944     2.100    50.382    17.780  9000.000  9000.000   315.850   316.940     0.00026
 7.2      411.080   245.560    28.405     2.070    50.362    18.007  9000.000  9000.000   316.320   317.460     0.00028
 7.3      405.410   244.670    26.000     2.094    51.662    18.237  9000.000  9000.000   316.420   317.440     0.00024
 7.4      399.740   243.720    24.629     2.000    50.032    18.458  9000.000  9000.000   316.470   317.400     0.00021
 7.5      394.160   242.660    23.000     2.000    50.741    18.680  9000.000  9000.000   316.350   317.200     0.00018
 7.6      388.630   241.720    22.000     2.000    51.463    18.903  9000.000  9000.000   316.390   317.190     0.00016
 7.7      383.190   240.830    26.048     2.000    52.193    19.127  9000.000  9000.000   316.500   317.350     0.00017
 7.8      377.790   239.930    27.000     2.000    52.940    19.351  9000.000  9000.000   316.590   317.430     0.00017
 7.9      372.430   238.970    30.457     1.954    52.474    19.571  9000.000  9000.000   316.610   317.480     0.00017
 8.0      367.150   238.140    33.029     1.900    51.750    19.786  9000.000  9000.000   316.800   317.680     0.00018
 8.1      361.910   237.270    36.000     1.900    52.500    20.002  9000.000  9000.000   316.940   317.840     0.00018
 8.2      356.700   236.650    34.000     2.000    56.070    20.229  9000.000  9000.000   317.420   318.260     0.00016
 8.3      351.600   236.200    29.471     2.176    61.902    20.477  9000.000  9000.000   318.110   318.880     0.00014
 8.4      346.530   235.470    27.621     2.200    63.486    20.729  9000.000  9000.000   318.450   319.180     0.00012
 8.5      341.550   234.940    26.107     2.211    64.726    20.982  9000.000  9000.000   319.040   319.740     0.00011
 8.6      336.600   234.530    25.805     2.300    68.329    21.246  9000.000  9000.000   319.810   320.510     0.00010
 8.7      331.800   234.170    20.237     2.324    70.032    21.514  9000.000  9000.000   320.630   321.260     0.00008
 8.8      327.010   233.750    15.382     2.462    75.281    21.797  9000.000  9000.000   321.380   321.940     0.00006
 8.9      322.270   234.130    10.667     2.500    77.576    22.085  9000.000  9000.000   323.250   323.770     0.00004
 9.0      317.580   233.700     8.235     2.500    78.721    22.373  9000.000  9000.000   324.000   324.490     0.00003
 9.1      312.970   233.500     6.000     2.600    83.075    22.673  9000.000  9000.000   325.080   325.550     0.00002
 9.2      308.420   233.030     5.000     2.611    84.642    22.974  9000.000  9000.000   325.780   326.230     0.00002
 9.3      303.930   232.510     5.000     2.629    86.510    23.279  9000.000  9000.000   326.410   326.870     0.00002
 9.4      299.470   231.620     5.000     2.542    84.873    23.574  9000.000  9000.000   326.530   326.990     0.00002
 9.5      295.100   230.650     6.000     2.500    84.717    23.866  9000.000  9000.000   326.530   327.000     0.00002
 9.6      290.730   229.700     6.000     2.529    86.998    24.162  9000.000  9000.000   326.570   327.040     0.00002
 9.7      286.430   228.800     6.514     2.451    85.586    24.451  9000.000  9000.000   326.680   327.150     0.00002
 9.8      282.190   228.060     7.000     2.370    83.986    24.731  9000.000  9000.000   327.010   327.490     0.00002
 9.9      277.970   227.750     7.000     2.310    83.102    25.004  9000.000  9000.000   327.970   328.450     0.00002
10.0      273.850   227.610     7.000     2.300    83.988    25.276  9000.000  9000.000   329.160   329.660     0.00002
10.1      269.740   226.840     7.000     2.309    85.621    25.550  9000.000  9000.000   329.470   329.960     0.00002
10.2      265.700   226.550     6.000     2.400    90.327    25.835  9000.000  9000.000   330.450   330.950     0.00001
