CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19960913 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.751
Integrated O3 until EOF (DU)     : 254.379
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 6.8      443.400   258.450    21.000     2.000     45.106   17.202  9000.000  9000.000   325.820   327.850     0.00058
 6.9      437.560   257.580    22.000     2.000     45.708   17.411  9000.000  9000.000   325.960   327.970     0.00057
 7.0      431.780   256.650    24.250     1.900     44.004   17.611  9000.000  9000.000   326.010   328.090     0.00059
 7.1      426.040   255.820    26.000     1.900     44.596   17.811  9000.000  9000.000   326.200   328.320     0.00060
 7.2      420.380   255.020    25.000     1.875     44.603   18.009  9000.000  9000.000   326.430   328.390     0.00055
 7.3      414.760   253.960    27.000     1.800     43.399   18.200  9000.000  9000.000   326.310   328.290     0.00055
 7.4      409.240   253.050    28.929     1.800     43.984   18.391  9000.000  9000.000   326.390   328.380     0.00055
 7.5      403.700   252.070    32.333     1.800     44.588   18.583  9000.000  9000.000   326.380   328.460     0.00057
 7.6      398.280   251.350    34.337     1.800     45.194   18.776  9000.000  9000.000   326.710   328.810     0.00058
 7.7      392.890   250.610    37.395     1.813     46.150   18.971  9000.000  9000.000   327.010   329.190     0.00060
 7.8      387.540   249.750    39.721     1.891     48.787   19.175  9000.000  9000.000   327.170   329.360     0.00060
 7.9      382.280   249.130    42.614     1.813     47.422   19.371  9000.000  9000.000   327.620   329.880     0.00061
 8.0      377.080   248.370    48.400     1.830     48.531   19.569  9000.000  9000.000   327.910   330.320     0.00066
 8.1      371.920   247.730    50.310     1.800     48.398   19.765  9000.000  9000.000   328.340   330.760     0.00066
 8.2      366.810   246.910    51.640     1.700     46.345   19.950  9000.000  9000.000   328.550   330.900     0.00063
 8.3      361.750   246.480    45.346     1.600     44.229   20.125  9000.000  9000.000   329.280   331.350     0.00054
 8.4      356.780   245.750    45.971     1.568     43.938   20.297  9000.000  9000.000   329.600   331.630     0.00052
 8.5      351.940   244.800    50.674     1.500     42.621   20.462  9000.000  9000.000   329.600   331.680     0.00053
 8.6      347.020   243.970    51.000     1.460     42.073   20.623  9000.000  9000.000   329.810   331.800     0.00050
 8.7      342.200   243.180    52.061     1.447     42.284   20.783  9000.000  9000.000   330.060   332.000     0.00049
 8.8      337.430   242.420    55.300     1.500     44.454   20.950  9000.000  9000.000   330.340   332.290     0.00049
 8.9      332.740   241.610    56.002     1.489     44.747   21.116  9000.000  9000.000   330.560   332.450     0.00047
 9.0      328.160   240.840    52.882     1.454     44.315   21.278  9000.000  9000.000   330.850   332.610     0.00042
 9.1      323.590   240.080    49.763     1.420     43.871   21.437  9000.000  9000.000   331.140   332.770     0.00038
 9.2      319.010   239.320    46.643     1.385     43.413   21.593  9000.000  9000.000   331.440   332.930     0.00034
 9.3      314.430   238.560    43.523     1.350     42.943   21.746  9000.000  9000.000   331.730   333.090     0.00029
 9.4      309.860   237.790    40.404     1.316     42.458   21.895  9000.000  9000.000   332.020   333.250     0.00025
 9.5      305.360   236.980    38.000     1.265     41.413   22.038  9000.000  9000.000   332.240   333.370     0.00022
 9.6      300.980   236.260    38.718     1.272     42.255   22.183  9000.000  9000.000   332.610   333.720     0.00021
 9.7      296.650   235.330    38.615     1.300     43.823   22.332  9000.000  9000.000   332.670   333.730     0.00019
 9.8      292.350   234.500    35.133     1.387     47.431   22.491  9000.000  9000.000   332.870   333.840     0.00016
 9.9      288.120   233.820    33.095     1.400     48.591   22.652  9000.000  9000.000   333.290   334.210     0.00015
10.0      283.920   233.080    33.150     1.400     49.309   22.814  9000.000  9000.000   333.620   334.520     0.00014
10.1      279.790   232.140    36.537     1.400     50.038   22.977  9000.000  9000.000   333.660   334.570     0.00014
10.2      275.690   231.200    39.000     1.327     48.144   23.131  9000.000  9000.000   333.720   334.630     0.00014
10.3      271.640   230.310    40.000     1.400     51.539   23.295  9000.000  9000.000   333.830   334.720     0.00013
10.4      267.620   229.380    40.914     1.400     52.313   23.459  9000.000  9000.000   333.900   334.770     0.00012
10.5      263.640   228.560    41.000     1.224     46.414   23.603  9000.000  9000.000   334.120   334.970     0.00011
10.6      259.710   227.710    41.000     1.200     46.205   23.745  9000.000  9000.000   334.320   335.140     0.00010
10.7      255.860   227.070    37.182     1.173     45.834   23.884  9000.000  9000.000   334.800   335.580     0.00009
10.8      252.110   226.190    32.207     1.100     43.631   24.015  9000.000  9000.000   334.910   335.630     0.00007
10.9      248.340   225.560    29.027     1.197     48.212   24.158  9000.000  9000.000   335.410   336.100     0.00006
11.0      244.590   224.760    24.067     1.100     44.974   24.290  9000.000  9000.000   335.670   336.320     0.00005
11.1      240.880   224.020    20.000     1.200     49.817   24.434  9000.000  9000.000   336.020   336.640     0.00004
11.2      237.240   223.170    20.000     1.245     52.465   24.584  9000.000  9000.000   336.210   336.820     0.00003
11.3      233.610   222.760    20.000     1.207     51.660   24.730  9000.000  9000.000   337.060   337.680     0.00003
11.4      230.040   221.970    20.000     1.300     56.512   24.888  9000.000  9000.000   337.350   337.970     0.00003
11.5      226.520   221.330    20.000     1.300     57.390   25.046  9000.000  9000.000   337.860   338.470     0.00003
11.6      223.050   220.970    20.000     1.400     62.765   25.217  9000.000  9000.000   338.790   339.400     0.00003
11.7      219.620   220.290    19.600     1.400     63.746   25.388  9000.000  9000.000   339.250   339.860     0.00003
11.8      216.230   219.410    19.000     1.400     64.745   25.560  9000.000  9000.000   339.390   340.000     0.00002
11.9      212.900   218.650    18.000     1.320     62.001   25.722  9000.000  9000.000   339.710   340.320     0.00002
12.0      209.580   217.800    18.000     1.300     62.030   25.883  9000.000  9000.000   339.910   340.520     0.00002
12.1      206.300   217.180    18.000     1.300     63.014   26.044  9000.000  9000.000   340.470   341.090     0.00002
12.2      203.090   216.170    18.000     1.300     64.012   26.206  9000.000  9000.000   340.410   341.020     0.00002
12.3      199.880   215.310    18.000     1.200     60.035   26.356  9000.000  9000.000   340.590   341.200     0.00001
12.4      196.730   214.390    18.000     1.200     60.998   26.507  9000.000  9000.000   340.680   341.290     0.00001
12.5      193.590   213.580    18.000     1.200     61.985   26.658  9000.000  9000.000   340.940   341.550     0.00001
12.6      190.520   212.810    19.000     1.200     62.986   26.810  9000.000  9000.000   341.260   341.880     0.00001
12.7      187.490   212.010    19.000     1.200     64.003   26.962  9000.000  9000.000   341.550   342.170     0.00001
12.8      184.470   211.380    19.000     1.300     70.470   27.128  9000.000  9000.000   342.110   342.730     0.00001
12.9      181.510   211.150    19.000     1.359     74.854   27.301  9000.000  9000.000   343.310   343.950     0.00001
13.0      178.600   212.050    18.500     1.500     83.987   27.492  9000.000  9000.000   346.360   347.010     0.00001
13.1      175.740   211.770    17.071     1.500     85.352   27.682  9000.000  9000.000   347.500   348.150     0.00001
13.2      172.930   211.150    15.755     1.476     85.321   27.871  9000.000  9000.000   348.080   348.730     0.00001
13.3      170.140   210.510    14.000     1.400     82.285   28.050  9000.000  9000.000   348.630   349.290     0.00001
13.4      167.400   209.930    13.450     1.400     83.635   28.229  9000.000  9000.000   349.290   349.950     0.00001
13.5      164.680   209.270    13.000     1.500     91.085   28.422  9000.000  9000.000   349.810   350.480     0.00001
13.6      162.010   208.520    12.113     1.400     86.412   28.603  9000.000  9000.000   350.180   350.850     0.00000
13.7      159.390   207.650    12.000     1.400     87.836   28.785  9000.000  9000.000   350.350   351.020     0.00000
13.8      156.780   206.800    12.000     1.400     89.296   28.967  9000.000  9000.000   350.570   351.250     0.00000
13.9      154.190   206.450    11.000     1.456     94.419   29.157  9000.000  9000.000   351.640   352.320     0.00000
14.0      151.750   206.630    11.000     1.580    104.140   29.363  9000.000  9000.000   353.540   354.230     0.00000
14.1      149.270   206.840    11.000     1.600    107.190   29.571  9000.000  9000.000   355.570   356.270     0.00000
14.2      146.830   206.640    11.000     1.600    108.970   29.779  9000.000  9000.000   356.890   357.600     0.00000
14.3      144.400   206.010    10.000     1.690    117.070   30.000  9000.000  9000.000   357.500   358.220     0.00000
14.4      142.030   205.620    10.000     1.600    112.660   30.210  9000.000  9000.000   358.510   359.230     0.00000
14.5      139.680   205.110     9.000     1.600    114.540   30.420  9000.000  9000.000   359.330   360.060     0.00000
14.6      137.380   204.230     9.000     1.686    122.720   30.642  9000.000  9000.000   359.480   360.220     0.00000
14.7      135.100   203.850     9.000     1.700    125.830   30.867  9000.000  9000.000   360.520   361.270     0.00000
14.8      132.850   203.620     8.000     1.600    120.440   31.078  9000.000  9000.000   361.850   362.610     0.00000
14.9      130.630   203.310     8.000     1.663    127.310   31.299  9000.000  9000.000   363.040   363.800     0.00000
15.0      128.460   203.450     8.000     1.654    128.790   31.518  9000.000  9000.000   365.020   365.790     0.00000
15.1      126.310   203.810     8.000     1.800    142.510   31.755  9000.000  9000.000   367.430   368.210     0.00000
15.2      124.220   204.280     7.000     2.000    161.010   32.019  9000.000  9000.000   370.030   370.820     0.00000
15.3      122.150   204.620     7.000     2.126    174.060   32.299  9000.000  9000.000   372.430   373.240     0.00000
15.4      120.120   204.550     7.000     2.200    183.150   32.588  9000.000  9000.000   374.080   374.890     0.00000
15.5      118.140   204.840     6.000     2.208    186.920   32.879  9000.000  9000.000   376.390   377.210     0.00000
15.6      116.190   204.790     6.000     2.300    197.960   33.181  9000.000  9000.000   378.080   378.920     0.00000
15.7      114.260   205.270     6.000     2.360    206.500   33.491  9000.000  9000.000   380.780   381.630     0.00000
15.8      112.390   205.750     6.000     2.400    213.550   33.805  9000.000  9000.000   383.480   384.340     0.00000
15.9      110.530   205.580     5.130     2.313    209.260   34.108  9000.000  9000.000   384.970   385.840     0.00000
16.0      108.710   205.040     5.000     2.210    203.320   34.398  9000.000  9000.000   385.790   386.670     0.00000
16.1      106.910   204.950     4.607     2.200    205.780   34.687  9000.000  9000.000   387.460   388.350     0.00000
16.2      105.140   205.030     4.000     2.200    209.240   34.976  9000.000  9000.000   389.450   390.350     0.00000
16.3      103.410   205.370     4.000     2.119    204.900   35.254  9000.000  9000.000   391.950   392.860     0.00000
16.4      101.690   205.250     4.000     2.189    215.310   35.541  9000.000  9000.000   393.600   394.520     0.00000
16.5      100.000   204.360     4.000     2.116    211.550   35.820  9000.000  9000.000   393.760   394.690     0.00000
16.6       98.350   203.430     3.000     2.189    222.560   36.109  9000.000  9000.000   393.840   394.770     0.00000
16.7       96.700   202.650     3.000     2.100    217.170   36.388  9000.000  9000.000   394.220   395.160     0.00000
16.8       95.078   201.590     3.000     1.977    207.940   36.652  9000.000  9000.000   394.050   395.000     0.00000
16.9       93.478   201.120     2.763     1.924    205.800   36.910  9000.000  9000.000   395.050   396.000     0.00000
17.0       91.895   201.340     2.043     1.996    217.170   37.177  9000.000  9000.000   397.390   398.360     0.00000
17.1       90.355   202.610     2.000     2.186    241.930   37.467  9000.000  9000.000   401.840   402.820     0.00000
17.2       88.848   202.690     3.000     2.182    245.530   37.757  9000.000  9000.000   403.920   404.920     0.00000
17.3       87.363   202.210     3.000     2.200    251.820   38.050  9000.000  9000.000   404.910   405.920     0.00000
17.4       85.888   201.870     2.125     2.300    267.790   38.357  9000.000  9000.000   406.200   407.220     0.00000
17.5       84.447   201.750     2.000     2.400    284.200   38.677  9000.000  9000.000   407.910   408.940     0.00000
17.6       83.029   201.930     2.000     2.459    296.150   39.005  9000.000  9000.000   410.240   411.290     0.00000
17.7       81.636   202.500     2.000     2.600    318.490   39.351  9000.000  9000.000   413.400   414.460     0.00000
17.8       80.271   202.550     2.000     2.700    336.360   39.710  9000.000  9000.000   415.490   416.560     0.00000
17.9       78.925   202.630     2.000     2.775    351.600   40.078  9000.000  9000.000   417.650   418.730     0.00000
18.0       77.609   203.500     2.000     3.361    433.050   40.523  9000.000  9000.000   421.460   422.560     0.00000
18.1       76.313   203.850     2.000     3.995    523.520   41.051  9000.000  9000.000   424.220   425.330     0.00000
18.2       75.038   203.560     2.000     4.381    583.820   41.630  9000.000  9000.000   425.660   426.790     0.00000
18.3       73.787   203.590     2.000     4.706    637.810   42.253  9000.000  9000.000   427.760   428.900     0.00000
18.4       72.563   204.020     2.000     4.835    666.260   42.891  9000.000  9000.000   430.710   431.870     0.00000
18.5       71.356   203.950     2.000     5.149    721.620   43.571  9000.000  9000.000   432.630   433.800     0.00000
18.6       70.165   203.880     2.000     5.300    755.370   44.271  9000.000  9000.000   434.560   435.740     0.00000
18.7       69.000   203.950     2.000     5.500    797.100   44.997  9000.000  9000.000   436.780   437.980     0.00000
18.8       67.855   203.740     1.454     5.446    802.520   45.716  9000.000  9000.000   438.420   439.630     0.00000
18.9       66.722   203.980     1.000     5.300    794.340   46.416  9000.000  9000.000   441.040   442.250     0.00000
19.0       65.611   204.540     1.000     5.496    837.710   47.140  9000.000  9000.000   444.380   445.620     0.00000
19.1       64.529   205.970     1.000     6.271    971.770   47.959  9000.000  9000.000   449.600   450.860     0.00000
19.2       63.469   206.770     1.000     6.812   1073.400   48.847  9000.000  9000.000   453.500   454.780     0.00000
19.3       62.431   207.150     1.000     6.905   1106.000   49.744  9000.000  9000.000   456.460   457.750     0.00000
19.4       61.407   206.980     1.000     6.833   1112.700   50.633  9000.000  9000.000   458.250   459.560     0.00000
19.5       60.400   206.800     1.000     6.800   1125.800   51.518  9000.000  9000.000   460.010   461.320     0.00000
19.6       59.403   206.850     1.000     6.534   1100.000   52.369  9000.000  9000.000   462.300   463.630     0.00000
19.7       58.434   207.050     1.000     6.643   1136.700   53.233  9000.000  9000.000   464.920   466.270     0.00000
19.8       57.475   207.270     1.000     7.062   1228.800   54.150  9000.000  9000.000   467.630   468.990     0.00000
19.9       56.538   208.400     1.000     8.438   1492.400   55.241  9000.000  9000.000   472.370   473.760     0.00000
20.0       55.618   208.780     1.000     9.294   1671.100   56.439  9000.000  9000.000   475.440   476.840     0.00000
20.1       54.712   209.640     1.000    10.025   1832.400   57.727  9000.000  9000.000   479.640   481.070     0.00000
20.2       53.833   210.380     1.000    10.278   1909.200   59.042  9000.000  9000.000   483.600   485.050     0.00000
20.3       52.969   211.000     1.000    10.237   1932.600   60.349  9000.000  9000.000   487.270   488.740     0.00000
20.4       52.108   211.610     0.847    10.261   1969.200   61.654  9000.000  9000.000   490.930   492.410     0.00000
20.5       51.306   212.350     0.000    10.760   2097.300   63.019  9000.000  9000.000   494.830   496.330     0.00000
20.6       50.553   213.380     0.000    11.171   2209.800   64.428  9000.000  9000.000   499.320   500.840     0.00000
20.7       49.755   213.410     0.000    11.863   2384.300   65.925  9000.000  9000.000   501.660   503.190     0.00000
20.8       48.963   213.610     0.000    11.925   2435.600   67.428  9000.000  9000.000   504.430   505.980     0.00000
20.9       48.185   214.050     0.000    12.711   2637.900   69.027  9000.000  9000.000   507.780   509.350     0.00000
21.0       47.425   214.190     0.000    13.237   2791.200   70.691  9000.000  9000.000   510.410   512.000     0.00000
21.1       46.678   214.560     0.000    13.833   2963.600   72.427  9000.000  9000.000   513.620   515.220     0.00000
21.2       45.937   215.210     0.000    14.100   3069.400   74.192  9000.000  9000.000   517.530   519.160     0.00000
21.3       45.215   215.770     0.000    13.715   3033.300   75.903  9000.000  9000.000   521.230   522.870     0.00000
21.4       44.509   215.950     0.000    13.191   2963.700   77.548  9000.000  9000.000   524.000   525.660     0.00000
21.5       43.807   216.150     0.000    13.991   3193.800   79.291  9000.000  9000.000   526.850   528.530     0.00000
21.6       43.126   216.050     0.000    14.104   3270.300   81.049  9000.000  9000.000   528.990   530.680     0.00000
21.7       42.445   215.900     0.000    14.218   3349.800   82.822  9000.000  9000.000   531.000   532.710     0.00000
21.8       41.776   215.790     0.000    14.589   3492.300   84.642  9000.000  9000.000   533.160   534.880     0.00000
21.9       41.120   215.850     0.000    14.700   3574.900   86.476  9000.000  9000.000   535.710   537.450     0.00000
22.0       40.477   215.810     0.000    14.361   3547.900   88.268  9000.000  9000.000   538.030   539.790     0.00000
22.1       39.838   215.580     0.000    15.149   3802.600   90.160  9000.000  9000.000   539.870   541.640     0.00000
22.2       39.213   215.690     0.000    14.044   3581.400   91.913  9000.000  9000.000   542.610   544.400     0.00000
22.3       38.596   215.820     0.000    14.460   3746.400   93.717  9000.000  9000.000   545.390   547.200     0.00000
22.4       37.988   216.160     0.000    14.603   3844.100   95.536  9000.000  9000.000   548.710   550.530     0.00000
22.5       37.394   216.280     0.000    14.769   3949.500   97.375  9000.000  9000.000   551.500   553.340     0.00000
22.6       36.808   216.150     0.000    14.218   3862.800   99.146  9000.000  9000.000   553.650   555.510     0.00000
22.7       36.234   216.110     0.000    14.217   3923.700  100.918  9000.000  9000.000   556.020   557.900     0.00000
22.8       35.661   215.950     0.000    13.848   3883.300  102.644  9000.000  9000.000   558.140   560.040     0.00000
22.9       35.106   215.950     0.000    13.598   3873.500  104.340  9000.000  9000.000   560.650   562.560     0.00000
23.0       34.553   215.770     0.000    13.177   3813.400  105.984  9000.000  9000.000   562.700   564.630     0.00000
23.1       34.011   215.460     0.000    12.516   3680.100  107.548  9000.000  9000.000   564.430   566.380     0.00000
23.2       33.477   216.080     0.000    13.188   3939.600  109.192  9000.000  9000.000   568.650   570.610     0.00000
23.3       32.950   217.100     0.000    12.850   3899.800  110.786  9000.000  9000.000   573.900   575.900     0.00000
23.4       32.438   217.330     0.000    12.772   3937.500  112.368  9000.000  9000.000   577.090   579.100     0.00000
23.5       31.930   216.700     0.000    11.968   3748.300  113.855  9000.000  9000.000   577.980   580.010     0.00000
23.6       31.430   216.510     0.000    11.930   3795.700  115.339  9000.000  9000.000   580.080   582.130     0.00000
23.7       30.937   216.680     0.000    12.368   3998.000  116.876  9000.000  9000.000   583.170   585.240     0.00000
23.8       30.452   216.750     0.000    12.332   4049.500  118.408  9000.000  9000.000   585.980   588.070     0.00000
23.9       29.976   216.750     0.000    12.575   4194.900  119.970  9000.000  9000.000   588.620   590.720     0.00000
24.0       29.511   217.370     0.000    12.756   4322.300  121.550  9000.000  9000.000   592.950   595.080     0.00000
24.1       29.050   217.850     0.000    13.067   4498.000  123.165  9000.000  9000.000   596.920   599.070     0.00000
