CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19950805 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.873
Integrated O3 until EOF (DU)     : 217.166
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 9.0      323.130   234.720    27.333     1.733    53.641    22.678  9000.000  9000.000   323.810   324.570     0.00012
 9.1      318.430   234.090    27.738     1.774    55.703    22.882  9000.000  9000.000   324.300   325.060     0.00011
 9.2      313.830   233.350    27.000     1.760    56.091    23.085  9000.000  9000.000   324.610   325.340     0.00010
 9.3      309.260   232.500    27.700     1.700    54.970    23.282  9000.000  9000.000   324.790   325.510     0.00010
 9.4      304.720   231.410    27.200     1.700    55.789    23.479  9000.000  9000.000   324.630   325.320     0.00009
 9.5      300.270   230.550    29.524     1.548    51.541    23.660  9000.000  9000.000   324.780   325.470     0.00009
 9.6      295.840   229.660    30.000     1.661    56.160    23.855  9000.000  9000.000   324.900   325.580     0.00008
 9.7      291.470   228.660    31.000     1.600    54.894    24.043  9000.000  9000.000   324.860   325.530     0.00008
 9.8      287.120   227.900    32.415     1.529    53.261    24.224  9000.000  9000.000   325.160   325.840     0.00008
 9.9      282.840   227.050    34.000     1.580    55.862    24.412  9000.000  9000.000   325.350   326.020     0.00007
10.0      278.610   225.990    34.824     1.500    53.838    24.590  9000.000  9000.000   325.220   325.880     0.00007
10.1      274.440   225.230    37.118     1.500    54.658    24.770  9000.000  9000.000   325.520   326.180     0.00007
10.2      270.300   224.290    38.160     1.500    55.493    24.950  9000.000  9000.000   325.560   326.220     0.00006
10.3      266.210   223.760    39.000     1.500    56.347    25.130  9000.000  9000.000   326.210   326.860     0.00006
10.4      262.170   223.070    41.553     1.500    57.214    25.311  9000.000  9000.000   326.620   327.280     0.00006
10.5      258.180   222.570    41.545     1.600    61.972    25.505  9000.000  9000.000   327.320   327.980     0.00006
10.6      254.260   222.950    27.610     1.663    65.395    25.706  9000.000  9000.000   329.310   329.920     0.00004
10.7      250.390   223.180    18.281     2.000    79.876    25.947  9000.000  9000.000   331.090   331.660     0.00003
